dwpf,relh,drct,sknt,alti,mslp,vsby,temp_c
51.0,17.27,0.0,3.0,29.67,1001.9,10.0,40.0
40.0,12.39,240.0,6.0,29.61,999.5,10.0,38.333333333333336
62.0,31.75,240.0,3.0,29.6,999.4,10.0,36.111111111111114
59.0,32.17,220.0,8.0,29.58,998.8,10.0,33.888888888888886
44.0,16.39,200.0,7.0,29.94,1011.3,10.0,36.111111111111114
43.0,13.5,150.0,6.0,29.88,1008.7,10.0,38.888888888888886
49.0,16.91,120.0,9.0,29.86,1008.1,10.0,38.888888888888886
46.0,14.77,200.0,9.0,29.8,1005.9,10.0,39.44444444444444
47.0,16.66,0.0,0.0,29.79,1005.9,10.0,37.77777777777778
45.0,15.05,260.0,6.0,29.71,1003.0,10.0,38.333333333333336
43.0,12.73,220.0,5.0,29.74,1004.1,10.0,40.0
43.0,13.5,300.0,3.0,29.74,1004.2,10.0,38.888888888888886
47.0,17.22,0.0,0.0,29.88,1008.9,10.0,37.22222222222222
54.0,23.73,270.0,13.0,29.86,1008.3,10.0,36.111111111111114
49.0,22.25,240.0,5.0,29.88,1009.3,10.0,33.888888888888886
59.0,45.07,150.0,10.0,29.88,1009.3,10.0,28.000000000000004
59.0,42.77,280.0,6.0,29.97,1012.9,10.0,28.88888888888889
53.0,34.49,240.0,5.0,29.97,1012.7,10.0,28.88888888888889
36.0,17.46,260.0,3.0,30.03,1015.0,10.0,29.444444444444443
37.0,17.0,260.0,5.0,30.03,1014.8,10.0,30.555555555555557
38.0,16.54,260.0,4.0,29.9,1010.2,10.0,31.666666666666668
40.0,17.88,0.0,0.0,29.89,1009.7,10.0,31.666666666666668
40.0,15.79,0.0,0.0,29.94,1011.6,10.0,33.888888888888886
39.0,13.87,130.0,8.0,30.02,1013.9,10.0,35.55555555555556
40.0,14.37,130.0,4.0,30.05,1014.6,10.0,35.55555555555556
37.0,14.59,60.0,5.0,29.99,1012.9,10.0,33.333333333333336
46.0,23.39,270.0,3.0,29.95,1011.7,10.0,31.11111111111111
47.0,25.78,0.0,0.0,29.94,1011.6,10.0,30.0
52.0,33.14,0.0,0.0,29.88,1009.8,10.0,28.88888888888889
50.0,30.8,200.0,9.0,29.84,1008.3,10.0,28.88888888888889
49.0,32.67,230.0,9.0,29.82,1007.8,10.0,27.22222222222222
52.0,54.45,0.0,0.0,29.98,1013.5,10.0,20.555555555555557
49.0,47.13,290.0,4.0,29.96,1013.1,10.0,21.11111111111111
48.0,39.85,220.0,4.0,30.01,1014.8,10.0,23.333333333333332
47.0,34.55,0.0,0.0,29.99,1013.8,10.0,25.0
46.0,35.67,0.0,0.0,29.97,1013.2,10.0,23.88888888888889
47.0,34.55,220.0,7.0,29.79,1007.0,10.0,25.0
27.0,14.2,360.0,4.0,30.06,1016.2,10.0,26.666666666666668
34.0,14.63,360.0,3.0,30.07,1016.2,10.0,31.11111111111111
38.0,16.08,140.0,6.0,29.98,1013.0,10.0,32.22222222222222
39.0,20.27,290.0,3.0,29.95,1012.3,10.0,28.88888888888889
41.0,26.57,290.0,6.0,30.03,1015.1,10.0,25.555555555555557
33.0,16.02,290.0,6.0,30.11,1017.8,10.0,28.88888888888889
29.0,12.71,120.0,5.0,30.11,1017.4,10.0,30.0
32.0,12.7,140.0,4.0,30.12,1017.7,10.0,32.22222222222222
33.0,14.53,90.0,7.0,30.06,1015.3,10.0,30.555555555555557
32.0,14.9,90.0,3.0,30.01,1013.8,10.0,29.444444444444443
31.0,14.69,160.0,4.0,30.02,1014.6,10.0,28.88888888888889
33.0,17.69,180.0,4.0,30.03,1015.1,10.0,27.22222222222222
35.0,21.85,0.0,0.0,29.98,1013.6,10.0,25.0
46.0,39.54,250.0,8.0,29.79,1007.1,10.0,22.22222222222222
22.0,17.91,230.0,6.0,29.88,1010.5,10.0,19.444444444444443
18.0,12.73,340.0,5.0,30.09,1017.9,10.0,22.22222222222222
20.0,15.29,340.0,4.0,30.25,1023.1,10.0,20.555555555555557
18.0,11.91,240.0,5.0,30.02,1015.5,10.0,23.333333333333332
23.0,16.87,240.0,4.0,29.92,1011.9,10.0,21.11111111111111
32.0,23.55,260.0,5.0,29.93,1012.1,10.0,21.666666666666668
32.0,22.03,250.0,4.0,29.93,1011.9,10.0,22.77777777777778
30.0,18.46,260.0,4.0,30.11,1018.1,10.0,24.444444444444443
17.0,9.69,260.0,4.0,30.03,1015.3,10.0,26.11111111111111
27.0,17.4,190.0,3.0,29.92,1011.7,10.0,23.333333333333332
32.0,22.85,260.0,5.0,29.87,1010.0,10.0,22.22222222222222
47.0,46.83,200.0,13.0,29.9,1011.1,10.0,20.0
50.0,62.58,240.0,6.0,29.92,1012.0,10.0,17.22222222222222
30.0,34.41,240.0,3.0,29.98,1014.3,10.0,14.444444444444445
36.0,42.02,270.0,5.0,29.87,1010.6,10.0,15.0
16.0,17.1,30.0,8.0,30.12,1018.9,10.0,16.11111111111111
4.0,8.68,240.0,4.0,30.12,1019.2,10.0,18.333333333333332
13.0,12.15,160.0,3.0,29.92,1012.3,10.0,19.444444444444443
16.0,17.65,160.0,3.0,29.84,1009.6,10.0,15.555555555555555
11.0,16.41,160.0,3.0,30.22,1022.8,10.0,13.333333333333334
13.0,15.44,240.0,3.0,30.33,1026.3,10.0,15.555555555555555
13.0,10.54,220.0,4.0,30.06,1017.1,10.0,21.666666666666668
18.0,11.15,220.0,4.0,30.05,1016.3,10.0,24.444444444444443
21.0,13.99,230.0,3.0,30.02,1015.4,10.0,22.77777777777778
24.0,16.5,230.0,3.0,30.04,1016.0,10.0,22.22222222222222
24.0,14.89,230.0,3.0,30.09,1017.5,10.0,23.88888888888889
24.0,14.89,230.0,3.0,30.09,1017.7,10.0,23.88888888888889
29.0,18.87,230.0,3.0,30.12,1018.8,10.0,23.333333333333332
20.0,11.7,230.0,3.0,30.09,1017.7,10.0,25.0
24.0,15.44,230.0,3.0,30.03,1015.7,10.0,23.333333333333332
26.0,19.17,230.0,3.0,30.03,1015.8,10.0,21.11111111111111
34.0,24.74,260.0,3.0,30.05,1016.3,10.0,22.22222222222222
32.0,18.08,220.0,4.0,30.12,1018.5,10.0,26.11111111111111
31.0,17.3,220.0,4.0,29.97,1013.1,10.0,26.11111111111111
28.0,17.54,160.0,5.0,29.9,1011.1,10.0,23.88888888888889
37.0,30.81,250.0,10.0,29.82,1008.5,10.0,20.555555555555557
40.0,39.79,250.0,10.0,29.83,1009.0,10.0,18.333333333333332
45.0,59.58,250.0,4.0,30.02,1015.5,10.0,15.0
46.0,48.47,170.0,4.0,30.0,1014.6,10.0,18.88888888888889
44.0,37.81,190.0,3.0,29.88,1010.3,10.0,21.666666666666668
40.0,35.79,160.0,6.0,29.9,1011.1,10.0,20.0
46.0,50.32,160.0,6.0,30.01,1015.0,10.0,18.333333333333332
41.0,32.6,180.0,6.0,29.86,1009.6,10.0,22.22222222222222
47.0,52.06,180.0,3.0,29.89,1010.8,10.0,18.333333333333332
42.0,41.67,180.0,3.0,30.13,1019.2,10.0,18.88888888888889
33.0,23.86,90.0,6.0,30.04,1015.9,10.0,22.22222222222222
32.0,28.01,80.0,4.0,30.04,1016.1,10.0,18.88888888888889
38.0,38.01,80.0,4.0,30.0,1014.9,10.0,17.77777777777778
35.0,36.36,80.0,4.0,29.98,1014.2,10.0,16.666666666666668
35.0,40.54,80.0,4.0,29.96,1013.8,10.0,15.0
44.6,76.34,230.0,14.0,29.45,1013.8,9.0,10.999999999999998
13.0,26.94,270.0,10.0,30.02,1016.4,10.0,7.222222222222222
7.0,18.4,270.0,10.0,30.27,1025.1,10.0,8.88888888888889
16.0,21.17,270.0,10.0,30.07,1018.1,10.0,12.777777777777779
30.0,38.19,270.0,10.0,30.03,1016.4,10.0,12.777777777777779
31.0,36.87,220.0,4.0,30.16,1020.8,10.0,13.88888888888889
31.0,32.0,220.0,4.0,30.19,1021.8,10.0,16.11111111111111
24.0,21.68,230.0,3.0,30.12,1019.1,10.0,17.77777777777778
24.0,21.01,220.0,3.0,29.89,1011.4,10.0,18.333333333333332
28.0,30.53,260.0,4.0,29.88,1011.0,10.0,15.0
31.0,33.04,260.0,4.0,29.89,1011.5,10.0,15.555555555555555
38.0,45.43,0.0,4.0,30.06,1017.3,10.0,15.0
24.0,22.52,0.0,4.0,30.17,1021.0,10.0,17.22222222222222
27.0,21.29,0.0,4.0,30.2,1021.6,10.0,20.0
27.0,19.9,0.0,4.0,30.16,1020.3,10.0,21.11111111111111
26.0,16.17,20.0,10.0,30.1,1018.2,10.0,23.88888888888889
27.0,17.94,20.0,10.0,30.05,1016.1,10.0,22.77777777777778
