relh,drct,sknt,alti,vsby,temp_c,dewpoint_c,feel_c
36.63,335,9,29.74,6.21,35,18,36.25555556
36.9,340,10,29.77,6.21,36,19,38.11111111
36.63,310,7,29.83,6.21,35,18,36.25555556
44.14,350,7,29.83,3.73,35,21,38.53888889
44.41,360,8,29.77,6.21,36,22,40.77777778
29.43,330,11,29.74,6.21,39,18,41.02222222
33.08,320,6,29.71,3.73,38,19,40.54444444
37.44,360,8,29.74,6.21,38,21,42.29444444
31.07,350,8,29.68,6.21,38,18,39.81111111
27.63,10,11,29.71,6.21,39,17,40.35
33.08,330,8,29.77,6.21,38,19,40.54444444
29.17,310,11,29.74,6.21,38,17,39.16666667
39.54,300,7,29.62,6.21,37,21,41.02777778
39.54,330,4,29.65,6.21,37,21,41.02777778
44.41,340,7,29.74,6.21,36,22,40.77777778
34.39,320,8,29.74,6.21,35,17,35.67777778
41.5,330,6,29.68,6.21,35,20,37.67777778
34.93,340,7,29.68,3.73,37,19,39.32222222
25.67,310,8,29.74,6.21,38,15,38
23.81,330,9,29.8,6.21,37,13,36.16111111
30.53,10,6,29.77,6.21,36,16,36
30.53,340,9,29.71,6.21,36,16,36
38.73,290,10,29.77,6.21,34,18,35.11111111
31.99,310,10,29.85,6.21,34,15,34
31.72,350,7,29.91,6.21,33,14,32.25555556
33.84,10,8,29.83,6.21,33,15,33
33.84,360,9,29.8,6.21,33,15,33
25.41,360,9,29.8,6.21,37,14,37
30.53,350,7,29.83,6.21,36,16,36
36.35,10,5,29.88,6.21,34,17,34
33.84,350,7,29.83,6.21,33,15,33
33.84,340,9,29.74,6.21,33,15,33
31.99,340,10,29.8,6.21,34,15,34
30.26,10,11,29.85,6.21,35,15,35
36.08,350,8,29.88,6.21,33,16,33
33.56,330,6,29.85,6.21,32,14,31.26666667
35.53,340,7,29.88,6.21,31,14,30.32222222
28.37,360,6,29.91,3.73,35,14,34.34444444
40.41,340,10,29.91,6.21,31,16,30.97222222
40.41,350,8,29.83,6.21,31,16,30.97222222
34.11,350,10,29.74,6.21,34,16,34
36.35,320,9,29.74,6.21,34,17,34
34.11,320,7,29.8,3.73,34,16,34
38.45,280,6,29.83,3.73,33,17,33
34.11,40,6,29.85,6.21,34,16,34
43.61,30,8,29.83,6.21,33,19,34.60555556
26.31,30,11,29.88,6.21,34,12,32.7
20.62,60,8,29.88,6.21,36,10,34.28333333
15.3,60,11,29.94,6.21,39,8,36.90555556
28.63,20,9,29.94,6.21,36,15,36
23.81,30,12,29.85,6.21,37,13,36.16111111
17.51,60,13,29.85,6.21,39,10,37.37777778
15.3,50,17,29.8,3.73,39,8,36.90555556
32.81,30,7,29.8,6.21,37,18,38.61111111
43.88,40,14,29.83,6.21,34,20,36.48333333
35.81,350,7,29.94,6.21,32,15,32
