dwpf,relh,drct,alti,vsby,feel,temp_c
55.4,64.04,280.0,29.62,6.21,68.0,20.0
51.8,49.64,270.0,30.0,6.21,71.6,21.999999999999996
60.8,68.75,210.0,30.03,6.21,71.6,21.999999999999996
57.2,60.07,220.0,30.03,19.0,71.78,22.1
46.58,44.24,300.0,30.03,19.0,69.26,20.700000000000003
52.7,64.52,230.0,30.03,15.0,64.94,18.333333333333332
60.8,77.75,230.0,29.97,6.21,68.0,20.0
46.22,55.7,250.0,29.97,16.0,62.24,16.8
48.38,57.44,280.0,29.97,25.0,63.68,17.6
40.64,48.88,290.0,29.97,16.0,59.9,15.555555555555555
42.8,48.28,260.0,30.09,6.21,62.6,17.0
51.0,60.75,240.0,30.09,19.0,64.76,18.200000000000003
51.8,49.64,240.0,29.91,6.21,71.6,21.999999999999996
54.32,55.12,150.0,29.91,19.0,71.24,21.799999999999997
50.0,41.14,190.0,29.94,6.21,75.2,24.0
57.74,77.98,210.0,29.94,22.0,64.76,18.200000000000003
54.0,86.63,310.0,29.94,6.0,57.92,14.444444444444445
41.0,54.6,340.0,30.0,6.21,57.2,14.000000000000002
46.4,67.12,340.0,29.88,6.21,57.2,14.000000000000002
53.6,77.14,300.0,29.91,6.21,60.8,16.0
55.4,77.29,300.0,30.03,5.59,62.6,17.0
55.0,75.81,190.0,30.03,18.0,62.78,17.1
50.0,67.54,240.0,29.97,6.21,60.8,16.0
60.26,95.63,200.0,29.97,18.0,61.52,16.400000000000002
54.32,77.2,160.0,29.97,14.0,61.52,16.400000000000002
57.2,77.45,160.0,29.35,6.21,64.4,18.000000000000004
57.56,87.38,250.0,29.35,14.0,61.34,16.3
57.2,77.45,200.0,29.53,6.21,64.4,18.000000000000004
50.0,59.5,250.0,29.74,6.21,64.4,18.000000000000004
48.2,55.63,120.0,30.06,6.21,64.4,18.000000000000004
60.8,73.09,90.0,29.97,5.59,69.8,21.0
57.2,77.45,60.0,29.91,4.35,64.4,18.000000000000004
50.0,52.51,70.0,29.88,6.21,68.0,20.0
44.78,47.08,40.0,29.88,14.0,65.48,18.600000000000005
46.4,62.92,40.0,30.12,6.21,59.0,15.0
42.8,65.4,30.0,30.12,17.0,54.14,12.3
45.5,76.42,360.0,30.12,11.0,52.7,11.500000000000002
46.4,71.64,330.0,30.09,6.21,55.4,13.0
44.6,66.91,20.0,30.12,6.21,55.4,13.0
33.8,43.9,20.0,30.3,6.21,55.4,13.0
45.32,63.19,280.0,30.3,19.0,57.74,14.300000000000002
41.36,58.32,260.0,30.3,18.0,55.76,13.199999999999998
26.0,41.51,310.0,30.3,19.0,43.51,9.100000000000001
40.0,58.92,240.0,30.3,25.0,54.14,12.3
42.8,58.52,240.0,30.0,6.21,57.2,14.000000000000002
46.4,76.5,270.0,29.59,6.21,53.6,12.0
38.84,60.72,10.0,29.59,19.0,51.98,11.11111111111111
35.6,50.36,10.0,30.39,6.21,53.6,12.0
53.6,87.74,240.0,30.09,6.21,57.2,14.000000000000002
51.8,67.75,260.0,30.0,6.21,62.6,17.0
51.8,72.2,220.0,30.0,6.21,60.8,16.0
50.0,72.01,160.0,29.41,6.21,59.0,15.0
48.2,71.83,190.0,29.47,6.21,57.2,14.000000000000002
51.8,87.65,50.0,29.56,6.21,55.4,13.0
48.2,71.83,280.0,29.97,6.21,57.2,14.000000000000002
49.0,68.75,230.0,29.97,11.0,59.36,15.200000000000001
56.12,82.42,250.0,29.97,28.0,61.52,16.400000000000002
55.76,72.14,230.0,29.97,13.0,64.94,18.333333333333332
57.56,83.04,220.0,29.97,19.0,62.78,17.1
42.8,66.7,310.0,30.03,6.21,53.6,12.0
37.22,65.14,20.0,30.03,22.0,45.26,9.100000000000001
40.64,74.45,210.0,30.03,22.0,43.88,9.100000000000001
42.8,81.47,50.0,28.88,6.21,42.94,9.000000000000002
