dwpf,relh,drct,sknt,alti,vsby,feel,temp_c
44.6,14.29,130.0,5.0,29.83,6.21,98.07,39.0
41.0,11.79,180.0,7.0,29.85,4.35,98.97,40.0
44.6,12.18,270.0,6.0,29.8,4.97,103.15,42.0
35.6,11.86,40.0,11.0,29.88,1.86,91.72,36.0
37.4,11.41,40.0,9.0,29.88,2.49,95.08,38.0
42.8,11.98,330.0,5.0,29.85,4.35,101.02,41.0
48.2,13.95,220.0,3.0,29.8,4.97,104.23,42.0
42.8,10.78,210.0,6.0,29.77,3.73,104.25,43.0
50.0,14.16,0.0,0.0,29.8,3.73,106.58,43.0
51.8,15.95,160.0,3.0,29.8,3.73,105.43,42.0
46.4,13.04,100.0,6.0,29.74,6.21,103.71,42.0
50.0,14.92,40.0,3.0,29.74,4.97,104.8,42.0
30.2,6.56,330.0,13.0,29.77,6.21,101.66,43.0
48.2,14.71,90.0,5.0,29.83,6.21,102.45,41.0
32.0,6.69,330.0,8.0,29.74,6.21,103.57,44.0
28.4,5.78,330.0,15.0,29.68,6.21,103.03,44.0
39.2,9.38,40.0,5.0,29.71,1.86,103.33,43.0
41.0,11.18,350.0,9.0,29.8,4.35,100.56,41.0
39.2,9.89,320.0,6.0,29.83,6.21,101.73,42.0
42.8,10.78,170.0,6.0,29.77,2.49,104.25,43.0
39.2,9.38,140.0,8.0,29.74,3.73,103.33,43.0
39.2,9.38,90.0,6.0,29.77,4.97,103.33,43.0
35.6,7.73,90.0,8.0,29.74,6.21,104.21,44.0
50.0,12.12,40.0,6.0,29.71,6.21,111.69,46.0
32.0,6.03,360.0,10.0,29.68,6.21,106.57,46.0
35.6,6.62,340.0,10.0,29.65,6.21,108.59,47.0
39.2,8.03,60.0,4.0,29.62,4.97,108.11,46.0
42.8,8.77,260.0,6.0,29.65,4.97,110.56,47.0
41.0,8.61,160.0,6.0,29.68,3.73,108.59,46.0
42.8,8.77,340.0,5.0,29.71,4.35,110.56,47.0
37.4,8.74,350.0,10.0,29.77,6.21,102.93,43.0
28.4,6.42,330.0,18.0,29.77,1.86,99.86,42.0
26.6,5.66,340.0,17.0,29.74,4.35,101.17,43.0
30.2,7.68,330.0,15.0,29.8,0.93,97.03,40.0
33.8,7.58,310.0,14.0,29.65,1.55,102.24,43.0
33.8,7.99,330.0,11.0,29.68,6.21,100.66,42.0
35.6,10.07,350.0,10.0,29.77,6.21,96.3,39.0
33.8,9.9,360.0,12.0,29.77,6.21,94.47,38.0
32.0,8.72,330.0,12.0,29.77,4.97,95.74,39.0
32.0,8.72,350.0,16.0,29.8,3.11,95.74,39.0
32.0,7.43,350.0,14.0,29.71,4.97,100.37,42.0
33.8,7.58,310.0,8.0,29.68,6.21,102.24,43.0
35.6,8.14,330.0,11.0,29.68,6.21,102.57,43.0
30.2,6.91,330.0,13.0,29.71,6.21,100.1,42.0
37.4,8.74,40.0,7.0,29.65,6.21,102.93,43.0
33.8,7.19,20.0,9.0,29.68,6.21,103.88,44.0
28.4,5.49,340.0,15.0,29.68,6.21,104.73,45.0
26.6,5.66,360.0,17.0,29.71,3.11,101.17,43.0
35.6,8.14,60.0,6.0,29.68,4.35,102.57,43.0
48.2,12.56,70.0,7.0,29.65,6.21,107.65,44.0
55.4,17.27,90.0,7.0,29.71,6.21,109.4,43.0
21.2,3.86,360.0,7.0,29.62,6.21,105.05,46.0
46.4,10.59,10.0,8.0,29.59,6.21,110.29,46.0
41.0,8.61,70.0,6.0,29.62,3.11,108.59,46.0
46.4,10.06,150.0,2.0,29.62,6.21,111.81,47.0
44.6,9.89,320.0,6.0,29.68,3.11,109.67,46.0
32.0,6.03,10.0,15.0,29.65,4.97,106.57,46.0
32.0,6.35,10.0,16.0,29.68,1.86,105.27,45.0
39.2,8.45,330.0,16.0,29.62,3.73,106.68,45.0
35.6,8.14,330.0,19.0,29.59,2.49,102.57,43.0
35.6,8.58,320.0,15.0,29.59,4.97,100.98,42.0
42.8,10.78,350.0,6.0,29.59,4.35,104.25,43.0
35.6,7.73,330.0,13.0,29.62,6.21,104.21,44.0
53.6,16.17,350.0,3.0,29.62,6.21,108.0,43.0
37.4,8.74,330.0,15.0,29.62,6.21,102.93,43.0
37.4,9.21,320.0,16.0,29.65,6.21,101.34,42.0
37.4,9.21,320.0,16.0,29.65,4.35,101.34,42.0
35.6,9.05,310.0,16.0,29.59,4.35,99.42,41.0
33.8,7.99,250.0,10.0,29.59,4.97,100.66,42.0
44.6,10.96,330.0,7.0,29.59,6.21,106.44,44.0
46.4,11.74,330.0,5.0,29.62,4.35,107.02,44.0
46.4,12.37,70.0,4.0,29.59,3.73,105.36,43.0
60.8,20.96,240.0,3.0,29.62,4.97,111.86,43.0
50.0,14.16,270.0,4.0,29.59,4.35,106.58,43.0
32.0,6.69,330.0,16.0,29.56,4.35,103.57,44.0
37.4,8.3,310.0,12.0,29.62,4.35,104.58,44.0
41.0,10.6,30.0,10.0,29.74,6.21,102.16,42.0
41.0,10.06,50.0,7.0,29.74,4.97,103.77,43.0
37.4,8.3,330.0,10.0,29.68,4.35,104.58,44.0
33.8,7.58,10.0,10.0,29.59,4.35,102.24,43.0
50.0,12.76,350.0,10.0,29.62,4.97,110.03,45.0
44.6,10.41,360.0,7.0,29.68,6.21,108.13,45.0
44.6,10.96,50.0,5.0,29.71,6.21,106.44,44.0
35.6,7.34,20.0,10.0,29.71,6.21,105.91,45.0
39.2,8.9,60.0,9.0,29.68,6.21,104.98,44.0
41.0,9.07,320.0,4.0,29.65,6.21,107.12,45.0
37.4,7.88,350.0,4.0,29.62,6.21,106.28,45.0
44.6,11.55,50.0,5.0,29.65,6.21,104.78,43.0
59.0,19.66,30.0,3.0,29.65,6.21,110.74,43.0
41.0,9.55,30.0,11.0,29.65,6.21,105.43,44.0
35.6,8.14,30.0,13.0,29.77,6.21,102.57,43.0
50.0,14.16,80.0,4.0,29.71,6.21,106.58,43.0
42.8,10.78,170.0,4.0,29.59,6.21,104.25,43.0
48.2,13.24,110.0,5.0,29.68,6.21,105.97,43.0
37.4,8.3,340.0,9.0,29.71,6.21,104.58,44.0
35.6,7.34,330.0,17.0,29.59,4.97,105.91,45.0
48.2,13.24,160.0,5.0,29.62,5.59,105.97,43.0
59.0,17.71,290.0,3.0,29.62,6.21,114.63,45.0
48.2,12.56,160.0,7.0,29.68,6.21,107.65,44.0
55.4,16.39,160.0,4.0,29.68,6.21,111.2,44.0
44.6,10.96,280.0,11.0,29.59,6.21,106.44,44.0
44.6,10.41,350.0,9.0,29.53,6.21,108.13,45.0
51.8,14.36,90.0,4.0,29.65,6.21,109.04,44.0
