relh,drct,sknt,alti,vsby,dewpoint_c,feel_c,temp_c
43.61,350,10,29.83,6.21,19,34.60555556,33
40.96,340,9,29.85,6.21,18,33.99444444,33
41.23,20,13,29.8,6.21,19,35.75,34
39,360,12,29.74,6.21,19,36.92222222,35
36.63,350,13,29.71,6.21,18,36.25555556,35
36.63,300,10,29.68,6.21,18,36.25555556,35
36.9,290,8,29.74,6.21,19,38.11111111,36
30.8,300,6,29.8,6.21,17,37.98888889,37
41.5,320,4,29.8,3.73,20,37.67777778,35
34.39,300,9,29.8,6.21,17,35.67777778,35
32.27,290,8,29.8,6.21,16,35,35
32.27,310,11,29.77,6.21,16,35,35
43.88,310,10,29.71,6.21,20,36.48333333,34
41.5,280,9,29.68,6.21,20,37.67777778,35
39.27,280,9,29.62,6.21,20,38.89444444,36
25.15,300,9,29.65,6.21,13,35.07777778,36
14.92,20,5,29.71,6.21,10,40.44444444,42
25.93,30,10,29.85,6.21,16,39.76111111,39
43.61,350,10,29.83,6.21,19,34.60555556,33
31.99,340,9,29.68,6.21,15,34,34
39,330,9,29.68,6.21,19,36.92222222,35
34.66,10,11,29.74,6.21,18,37.42777778,36
36.9,300,8,29.74,6.21,19,38.11111111,36
39.27,290,8,29.71,6.21,20,38.89444444,36
27.1,290,9,29.65,6.21,15,37,37
27.1,290,7,29.65,6.21,15,37,37
13.95,10,3,29.65,6.21,9,40.12777778,42
22.79,290,3,29.77,6.21,14,39,39
33.08,10,10,29.85,6.21,19,40.54444444,38
34.39,350,9,29.77,6.21,17,35.67777778,35
46.67,340,8,29.77,6.21,21,37.31666667,34
36.63,335,9,29.74,6.21,18,36.25555556,35
36.9,340,10,29.77,6.21,19,38.11111111,36
36.63,310,7,29.83,6.21,18,36.25555556,35
44.14,350,7,29.83,3.73,21,38.53888889,35
44.41,360,8,29.77,6.21,22,40.77777778,36
29.43,330,11,29.74,6.21,18,41.02222222,39
33.08,320,6,29.71,3.73,19,40.54444444,38
37.44,360,8,29.74,6.21,21,42.29444444,38
31.07,350,8,29.68,6.21,18,39.81111111,38
27.63,10,11,29.71,6.21,17,40.35,39
33.08,330,8,29.77,6.21,19,40.54444444,38
29.17,310,11,29.74,6.21,17,39.16666667,38
39.54,300,7,29.62,6.21,21,41.02777778,37
39.54,330,4,29.65,6.21,21,41.02777778,37
44.41,340,7,29.74,6.21,22,40.77777778,36
34.39,320,8,29.74,6.21,17,35.67777778,35
41.5,330,6,29.68,6.21,20,37.67777778,35
34.93,340,7,29.68,3.73,19,39.32222222,37
25.67,310,8,29.74,6.21,15,38,38
23.81,330,9,29.8,6.21,13,36.16111111,37
30.53,10,6,29.77,6.21,16,36,36
30.53,340,9,29.71,6.21,16,36,36
38.73,290,10,29.77,6.21,18,35.11111111,34
31.99,310,10,29.85,6.21,15,34,34
31.72,350,7,29.91,6.21,14,32.25555556,33
33.84,10,8,29.83,6.21,15,33,33
33.84,360,9,29.8,6.21,15,33,33
25.41,360,9,29.8,6.21,14,37,37
30.53,350,7,29.83,6.21,16,36,36
36.35,10,5,29.88,6.21,17,34,34
33.84,350,7,29.83,6.21,15,33,33
33.84,340,9,29.74,6.21,15,33,33
31.99,340,10,29.8,6.21,15,34,34
30.26,10,11,29.85,6.21,15,35,35
36.08,350,8,29.88,6.21,16,33,33
33.56,330,6,29.85,6.21,14,31.26666667,32
35.53,340,7,29.88,6.21,14,30.32222222,31
28.37,360,6,29.91,3.73,14,34.34444444,35
40.41,340,10,29.91,6.21,16,30.97222222,31
40.41,350,8,29.83,6.21,16,30.97222222,31
34.11,350,10,29.74,6.21,16,34,34
36.35,320,9,29.74,6.21,17,34,34
34.11,320,7,29.8,3.73,16,34,34
38.45,280,6,29.83,3.73,17,33,33
34.11,40,6,29.85,6.21,16,34,34
43.61,30,8,29.83,6.21,19,34.60555556,33
26.31,30,11,29.88,6.21,12,32.7,34
20.62,60,8,29.88,6.21,10,34.28333333,36
15.3,60,11,29.94,6.21,8,36.90555556,39
28.63,20,9,29.94,6.21,15,36,36
23.81,30,12,29.85,6.21,13,36.16111111,37
17.51,60,13,29.85,6.21,10,37.37777778,39
15.3,50,17,29.8,3.73,8,36.90555556,39
32.81,30,7,29.8,6.21,18,38.61111111,37
43.88,40,14,29.83,6.21,20,36.48333333,34
35.81,350,7,29.94,6.21,15,32,32
31.17,360,9,29.91,6.21,12,29.84444444,31
35.25,30,7,29.91,6.21,13,29.18888889,30
42.52,320,8,29.88,6.21,15,28.84444444,29
37.62,330,7,29.85,6.21,14,29.42777778,30
37.62,360,8,29.91,6.21,14,29.42777778,30
31.45,10,10,29.77,6.21,13,30.98888889,32
37.62,320,8,29.91,6.21,14,29.42777778,30
35.53,40,8,29.97,6.21,14,30.32222222,31
21.79,40,9,29.94,6.21,10,33.27222222,35
10.81,260,7,29.8,6.21,3,35.90555556,39
14.08,220,12,29.77,1.24,6,35.57777778,38
19.28,60,10,29.85,6.21,9,34.08888889,36
31.99,30,10,29.88,6.21,15,34,34
